open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1737244800000,104524.30,104524.40,104080.00,104090.70,3116.525,1737248399999,325047286.54140,81336,1215.917,126820936.36020,0
1737248400000,104090.60,104660.30,103980.00,104452.50,3886.654,1737251999999,405634526.83490,88886,2141.287,223510925.85590,0
1737252000000,104452.50,105439.00,104452.40,104848.10,8666.157,1737255599999,910142509.38860,160483,4687.737,492291427.83130,0
1737255600000,104848.10,105163.20,104511.70,104958.30,5141.517,1737259199999,538945184.32570,105853,2816.289,295287331.76820,0
1737259200000,104958.20,105249.10,104637.10,105013.90,6023.633,1737262799999,632228032.85090,142068,3217.672,337747329.03760,0
1737262800000,105013.90,105110.10,104214.60,105095.20,6435.319,1737266399999,673720020.78040,133922,3128.918,327579900.08680,0
1737266400000,105095.30,105629.40,105002.00,105554.00,6351.686,1737269999999,668746144.76970,110302,3258.040,343087483.97790,0
1737270000000,105554.00,105580.70,104931.80,105151.80,5778.562,1737273599999,608097923.44600,116121,2337.963,245988963.53300,0
1737273600000,105151.80,105160.40,104310.70,104414.40,9512.805,1737277199999,995576848.20590,176100,4280.465,447925142.32850,0
1737277200000,104413.40,105458.40,103458.60,105290.80,19384.248,1737280799999,2022999200.63970,360246,10222.889,1067034963.85760,0
1737280800000,105290.90,105306.00,104384.60,104818.70,10026.226,1737284399999,1050964046.34260,197797,4862.637,509743433.17120,0
1737284400000,104818.80,105349.90,104174.50,104353.80,9301.956,1737287999999,974795303.17920,202579,4503.562,472083586.68870,0
1737288000000,104353.80,105021.00,104285.70,104930.10,7425.982,1737291599999,777117815.33330,159613,3595.116,376231832.18760,0
1737291600000,104930.00,105328.20,104854.90,104955.30,7271.082,1737295199999,764127548.37720,147166,3717.990,390743831.19730,0
1737295200000,104956.20,105743.10,104763.30,105132.50,13353.552,1737298799999,1404706365.94140,254449,7349.508,773174364.23410,0
1737298800000,105132.40,105222.20,104488.80,104936.00,8649.108,1737302399999,906797575.93710,185640,4100.002,429936718.77180,0
1737302400000,104936.00,105223.80,104704.10,104942.90,3170.019,1737305999999,332619586.48820,92859,1511.955,158655224.29540,0
1737306000000,104942.80,105181.20,104520.00,105130.00,5388.707,1737309599999,564751129.11600,106066,2868.575,300644725.25670,0
1737309600000,105130.00,105272.00,104889.00,105023.90,3858.101,1737313199999,405501221.57440,81359,1907.763,200527775.14290,0
1737313200000,105024.00,106259.80,104957.00,106247.90,8665.673,1737316799999,915111158.90440,144776,5529.893,584034830.45550,0
1737316800000,106247.90,106450.00,105500.00,106291.20,10897.620,1737320399999,1156154123.80150,210820,5143.756,545787039.17220,0
1737320400000,106291.30,106391.60,103676.60,103687.40,23202.211,1737323999999,2428168279.36610,441107,10889.941,1139242789.41930,0
1737324000000,103687.40,104496.20,101000.00,103396.70,36326.713,1737327599999,3741254254.36920,649496,16817.161,1733000172.62780,0
1737327600000,103396.80,103400.00,99600.00,101311.50,59115.122,1737331199999,5971642365.53660,998012,29219.571,2952591790.26430,0
